Activity ID,date,year,time,name,type,Activity Description,elapsed_time,distance,Relative Effort,Commute,Activity Gear,Filename,day_computed
,Dec 17,,5:15:26 PM,,Ride,,900,2.41,,,,,352
,Dec 18,,12:50:01 AM,,Ride,,900,2.73,,,,,353
,Dec 19,,1:50:27 PM,,Ride,,1905,7.51,,,,,354
,Dec 20,,12:19:45 PM,,Ride,,4900,7.7,,,,,355
,Dec 23,,5:58:24 PM,,Ride,,4017,6.57,,,,,358
,Dec 24,,6:59:26 PM,,Ride,,1202,2.9,,,,,359
,Jan 6,,10:01:53 AM,,Run,,2406,6.79,,,,,6
,Jan 8,,7:35:53 PM,,Run,,2421,5.42,,,,,8
,Jan 13,,2:35:46 PM,,Run,,3209,5.31,,,,,13
,Jan 15,,6:53:42 AM,,Run,,1526,4.52,,,,,15
,Jan 20,,1:02:23 PM,,Run,,2008,5.13,,,,,20
,Jan 22,,7:07:07 AM,,Run,,1480,4.54,,,,,22
,Jan 27,,6:54:49 PM,,Run,,1834,4.69,,,,,27
,Jan 28,,6:16:51 PM,,Run,,3192,4.56,,,,,28
,Feb 24,,4:01:46 PM,,Run,,3203,5.46,,,,,55
,Mar 17,,12:17:11 PM,,Run,,2017,4.69,,,,,77
,Mar 20,,7:36:45 AM,,Run,,2244,6.68,,,,,80
,Mar 24,,1:28:48 PM,,Run,,4099,5.66,,,,,84
,Mar 26,,7:45:19 PM,,Run,,2334,5.15,,,,,86
,Mar 30,,11:51:38 AM,,Run,,3622,5.12,,,,,90
,Apr 1,,5:55:44 AM,,Run,,1583,4.86,,,,,92
,Apr 3,,5:51:48 AM,,Run,,2100,6.43,,,,,94
,Apr 8,,6:33:40 AM,,Run,,1200,4.02,,,,,99
,May 23,,10:52:12 AM,,Run,,3485,8.55,,,,,144
,Jun 6,,9:18:35 PM,,Run,,3119,4.71,,,,,158
,Jun 8,,12:23:26 PM,,Run,,3632,6.12,,,,,160
,Jun 17,,11:06:28 PM,,Run,,2241,5.13,,,,,169
,Jun 28,,11:07:31 AM,,Run,,1636,5.05,,,,,180
,Jul 3,,11:06:55 AM,,Run,,1438,3.44,,,,,185
,Jul 6,,11:03:05 AM,,Run,,3420,6.36,,,,,188
,Jul 8,,10:55:19 AM,,Run,,1757,4.57,,,,,190
,Jul 10,,11:10:22 AM,,Run,,3018,8.56,,,,,192
,Jul 11,,11:06:16 AM,,Run,,1495,4.84,,,,,193
,Jul 13,,12:29:56 PM,,Run,,2538,5.72,,,,,195
,Jul 15,,12:33:19 PM,,Run,,2601,6.33,,,,,197
,Jul 17,,12:27:26 PM,,Run,,5404,8.73,,,,,199
,Jul 19,,11:07:00 AM,,Run,,4376,12.07,,,,,201
,Jul 22,,10:57:13 AM,,Run,,1789,5.01,,,,,204
